id,kudos,title,keywords,amount_keywords,romanticCategory,rating,contentWarning,words,packaged,published,up_time
31642922,157,"One more kiss, dear","Fist Fights, Canonical Character Death, Blow Jobs, Anal Sex, Internalized Homophobia, Hate Sex, Anal Fingering, Unhealthy Relationships, Enemies to Lovers, Book 5: Harry Potter and the Order of the Phoenix, Closeted Character",11,M/M,Explicit,Creator Chose Not To Use Archive Warnings,10533,2021-08-09T07:56:59,2021-05-31,3
31775461,4,The Truths of Friendship,"Fluff and Angst, Hogwarts, Friendship, Canonical Character Death, Angst with a Happy Ending, Post-Hogwarts, Romantic Fluff, Developing Friendships, Young Tom Riddle, Possessive Tom Riddle, Emotional Hurt/Comfort, Friends to Lovers, Sane Tom Riddle, Love Confessions, Post-War, Dark, Falling In Love, Old Friends",18,M/M,Mature,Creator Chose Not To Use Archive Warnings,15023,2021-08-10T00:17:58,2021-06-06,2
31819081,47,Nowhere to Go,"Quarantine, Alternate Universe - Modern Setting, Alternate Universe - Non-Magical, Roommates, Mutual Pining, Getting Together, Friends to Lovers, Alternate Universe - Muggle",8,M/M,Not Rated,Creator Chose Not To Use Archive Warnings,1982,2021-08-04T12:45:35,2021-06-08,2
31916275,116,Willow || Cedric Diggory,"Rey loved every seconds of it, Anal Sex, Cedric can be rough and dominant, Hurt/Comfort, Cedric Diggory Lives, Love, Bottom Rey Olympia, Blindfolds, Choking, Top Cedric Diggory, It's still have the bittersweet journey of a relationship we all know and love, Rough Oral Sex, Friendship, petting, Suicidal Thoughts, Eventual Romance, Emotional Hurt/Comfort, Character Death, Eventual Sex, Death, Angst, Occasional banter, Depression, Biting, Eventual Smut, Eventual Relationships, So chill... and enjoy!, lots of making out, Making Out, Anal Fingering, Destiny, Alternate Universe - Canon Divergence, Heavy Petting, Cedric lives ya'll! I'm so happy, Praise Kink, Fate, it's not all about sex, Oral Sex, Light Petting, Kinky, Orgasm Denial, Daddy Kink, head petting kink, Both of them, Blood Kink, Breaking the Bed",46,M/M,Mature,Creator Chose Not To Use Archive Warnings,297027,2022-09-06T17:12:32,2021-06-13,15
31722499,48,don’t need drugs (i can already feel my head rot),"Attempted Murder, Threats of Violence, spoiler - Freeform, Murder, Blackmail, Knives, maybe? idk, Drug Addiction, Enemies to Friends to Lovers, Heist, Villains, Alternate Universe, so many tags i’m sorry, except they were friends first, Shh, Vigilante Harry Potter, Manipulative Tom Riddle, Alternate Universe - Modern Setting, Violence, Enemies to Lovers, Drug Use, Childhood Friends, Morally Grey Harry Potter, Drug Lord Tom Riddle, Dark",25,M/M,Mature,Graphic Depictions Of Violence,331,2022-09-05T09:18:23,2021-06-03,15
31979617,257,The Things That Are Deadly,"Soulmates, Vampire Draco Malfoy, Incomplete, Pining Draco Malfoy, Alternate Universe - Vampire, wip dramione, Enemies to Friends to Lovers, Hogwarts, Blood Drinking, Vampire Turning, Vampire Bites, Non-Consensual Touching, Enemies to Lovers, Sexual Tension, Rape/Non-con Elements, Vampires, POV Draco Malfoy, Work In Progress, Blood, Blood Kink",20,F/M,Not Rated,Creator Chose Not To Use Archive Warnings,21662,2022-09-07T04:26:48,2021-06-16,15
32296828,465,Infairitance,"Magical Theory (Harry Potter), fairy draco malfoy, Creature Inheritance, Quidditch Player Harry Potter, Harry Potter Thinks Draco Malfoy is Up to Something, Draco is a magical girl, Harry Potter is a Good Friend, Lucius becomes a Good Dad, Creature Draco Malfoy, Good Lucius Malfoy, Short Draco Malfoy, Potions Master Draco Malfoy, Good Narcissa Black Malfoy, Lucius Malfoy's A+ Parenting, Harry Potter Epilogue What Epilogue | EWE, Magically Powerful Harry Potter, Fred Weasley Lives, Draco Malfoy Has Long Hair, Enemies to Lovers, Draco Malfoy & Harry Potter Friendship, Amortentia, Harry Potter and the Twins are great friends, Enemies to Friends, Necromancer Draco Malfoy",24,M/M,Teen And Up Audiences,No Archive Warnings Apply,53003,2022-09-09T08:38:18,2021-07-01,14
32495029,155,When Demons Cry,"Rape/Non-con Elements, Animated GIFs, Rough Sex, Demon Sex, Graphic Format: GIF, Post-Hogwarts, Embedded Images, Demonic Possession, NSFW Art, Friends to Lovers, Don't Like Don't Read, Dream Sex, Succubi & Incubi, Mild Gore",14,F/M,Explicit,Graphic Depictions Of Violence,2869,2021-08-12T03:01:02,2021-07-10,1
32581573,77,Unceremoniously,"Friendship/Love, Ron Weasley Bashing, Eventual Smut, Slow Burn, Post-Hogwarts, Smut, Fluff and Smut, Friends to Lovers, Post-Battle of Hogwarts, Hermione Granger-centric, Falling In Love",11,F/M,Mature,Graphic Depictions Of Violence,52298,2021-08-25T17:14:49,2021-07-14,1
32639251,51,Locus Liquido Remotionem Fortuna - Inhibitions Removal Liquid Luck,"Mischief, Pranks, Funny, Hermione speaks her mind, BAMF Hermione Granger, Fremione - Freeform, Romance, Tags May Change, Fluff, Makeover, Friends to Lovers, Book 5: Harry Potter and the Order of the Phoenix, Rating May Change, One upping Umbridge, Self Confidence Issues, Use of potion",16,F/M,Mature,No Archive Warnings Apply,8871,2022-09-06T12:49:09,2021-07-17,14
